year,race_name,date,circuit_name,location,country,Driver,driver_code,finish_position,race_points,status,stop,pit_lap,pit_duration,Tire Compound,Stint Length,Stint,Air_Temp_C,Track_Temp_C,Humidity_%,Wind_Speed_KMH,TotalPitStops,AvgPitStopTime,Lap Time Variation,Total Pit Stops,Tire Usage Aggression,Fast Lap Attempts,Position Changes,Driver Aggression Score
2018,British Grand Prix,2018-07-08,Silverstone Circuit,Silverstone,UK,Sebastian Vettel,VET,1,25.0,Finished,1,20,28.677,MEDIUM,13.0,2.0,22.29583333333333,28.79583333333333,56.79166666666666,11.125000000000002,2.0,28.4255,0.003907794,0.2857142857142857,0.038461538,38.13031994581159,0.0,5.799841209084796
2018,British Grand Prix,2018-07-08,Silverstone Circuit,Silverstone,UK,Sebastian Vettel,VET,1,25.0,Finished,1,20,28.677,SOFT,19.0,3.0,22.29583333333333,28.79583333333333,56.79166666666666,11.125000000000002,2.0,28.4255,0.003907794,0.2857142857142857,0.038461538,38.13031994581159,0.0,5.799841209084796
2018,British Grand Prix,2018-07-08,Silverstone Circuit,Silverstone,UK,Sebastian Vettel,VET,1,25.0,Finished,2,33,28.174,SOFT,18.0,1.0,22.29583333333333,28.79583333333333,56.79166666666666,11.125000000000002,2.0,28.4255,0.003907794,0.2857142857142857,0.038461538,38.13031994581159,0.0,5.799841209084796
2018,British Grand Prix,2018-07-08,Silverstone Circuit,Silverstone,UK,Sebastian Vettel,VET,1,25.0,Finished,2,33,28.174,MEDIUM,13.0,2.0,22.29583333333333,28.79583333333333,56.79166666666666,11.125000000000002,2.0,28.4255,0.003907794,0.2857142857142857,0.038461538,38.13031994581159,0.0,5.799841209084796
2018,British Grand Prix,2018-07-08,Silverstone Circuit,Silverstone,UK,Sebastian Vettel,VET,1,25.0,Finished,2,33,28.174,SOFT,19.0,3.0,22.29583333333333,28.79583333333333,56.79166666666666,11.125000000000002,2.0,28.4255,0.003907794,0.2857142857142857,0.038461538,38.13031994581159,0.0,5.799841209084796
2018,Canadian Grand Prix,2018-06-10,Circuit Gilles Villeneuve,Montreal,Canada,Kimi Räikkönen,RAI,6,8.0,Finished,1,32,23.645,,,,,,,,,,,,,,,
2018,Canadian Grand Prix,2018-06-10,Circuit Gilles Villeneuve,Montreal,Canada,Sebastian Vettel,VET,1,25.0,Finished,1,37,23.529,ULTRASOFT,35.0,1.0,15.158333333333337,21.65833333333334,48.583333333333336,9.408333333333331,1.0,23.529,0.00229667,0.1428571428571428,0.014705882,43.02681995,0.0,6.493367455015095
2018,Canadian Grand Prix,2018-06-10,Circuit Gilles Villeneuve,Montreal,Canada,Sebastian Vettel,VET,1,25.0,Finished,1,37,23.529,SUPERSOFT,33.0,2.0,15.158333333333337,21.65833333333334,48.583333333333336,9.408333333333331,1.0,23.529,0.00229667,0.1428571428571428,0.014705882,43.02681995,0.0,6.493367455015095
2018,Chinese Grand Prix,2018-04-15,Shanghai International Circuit,Shanghai,China,Kimi Räikkönen,RAI,3,15.0,Finished,1,27,22.913,,,,,,,,,,,,,,,
2018,Chinese Grand Prix,2018-04-15,Shanghai International Circuit,Shanghai,China,Sebastian Vettel,VET,8,4.0,Finished,1,20,23.009,SOFT,44.0,1.0,12.608333333333336,18.10833333333333,67.83333333333333,10.241666666666664,1.0,23.009,0.002125571,0.1428571428571428,0.017857143,43.54681994581159,0.3043478260869565,6.602381160140331
2018,Chinese Grand Prix,2018-04-15,Shanghai International Circuit,Shanghai,China,Sebastian Vettel,VET,8,4.0,Finished,1,20,23.009,MEDIUM,10.0,2.0,12.608333333333336,18.10833333333333,67.83333333333333,10.241666666666664,1.0,23.009,0.002125571,0.1428571428571428,0.017857143,43.54681994581159,0.3043478260869565,6.602381160140331
2018,French Grand Prix,2018-06-24,Circuit Paul Ricard,Le Castellet,France,Kimi Räikkönen,RAI,3,15.0,Finished,1,34,24.289,,,,,,,,,,,,,,,
2018,French Grand Prix,2018-06-24,Circuit Paul Ricard,Le Castellet,France,Sebastian Vettel,VET,5,10.0,Finished,1,1,32.612,SOFT,39.0,2.0,21.10833333333333,26.60833333333333,69.70833333333333,8.125,2.0,31.8205,0.00502487,0.2857142857142857,0.037735849,34.73531995,0.1739130434782608,5.308172498510667
2018,French Grand Prix,2018-06-24,Circuit Paul Ricard,Le Castellet,France,Sebastian Vettel,VET,5,10.0,Finished,1,1,32.612,ULTRASOFT,13.0,3.0,21.10833333333333,26.60833333333333,69.70833333333333,8.125,2.0,31.8205,0.00502487,0.2857142857142857,0.037735849,34.73531995,0.1739130434782608,5.308172498510667
2018,French Grand Prix,2018-06-24,Circuit Paul Ricard,Le Castellet,France,Sebastian Vettel,VET,5,10.0,Finished,2,40,31.029,SOFT,39.0,2.0,21.10833333333333,26.60833333333333,69.70833333333333,8.125,2.0,31.8205,0.00502487,0.2857142857142857,0.037735849,34.73531995,0.1739130434782608,5.308172498510667
2018,French Grand Prix,2018-06-24,Circuit Paul Ricard,Le Castellet,France,Sebastian Vettel,VET,5,10.0,Finished,2,40,31.029,ULTRASOFT,13.0,3.0,21.10833333333333,26.60833333333333,69.70833333333333,8.125,2.0,31.8205,0.00502487,0.2857142857142857,0.037735849,34.73531995,0.1739130434782608,5.308172498510667
2018,German Grand Prix,2018-07-22,Hockenheimring,Hockenheim,Germany,Kimi Räikkönen,RAI,3,15.0,Finished,1,14,19.647,,,,,,,,,,,,,,,
2018,German Grand Prix,2018-07-22,Hockenheimring,Hockenheim,Germany,Kimi Räikkönen,RAI,3,15.0,Finished,2,53,19.988,,,,,,,,,,,,,,,
2018,German Grand Prix,2018-07-22,Hockenheimring,Hockenheim,Germany,Sebastian Vettel,VET,\N,0.0,Accident,1,25,18.657,ULTRASOFT,23.0,1.0,21.570833333333336,27.070833333333336,77.79166666666667,6.408333333333334,1.0,18.657,0.000693607,0.1428571428571428,0.019607843,47.89881995,0.7391304347826086,7.298579971929628
2018,German Grand Prix,2018-07-22,Hockenheimring,Hockenheim,Germany,Sebastian Vettel,VET,\N,0.0,Accident,1,25,18.657,SOFT,27.0,2.0,21.570833333333336,27.070833333333336,77.79166666666667,6.408333333333334,1.0,18.657,0.000693607,0.1428571428571428,0.019607843,47.89881995,0.7391304347826086,7.298579971929628
2018,Hungarian Grand Prix,2018-07-29,Hungaroring,Budapest,Hungary,Kimi Räikkönen,RAI,3,15.0,Finished,1,14,24.471,,,,,,,,,,,,,,,
2018,Hungarian Grand Prix,2018-07-29,Hungaroring,Budapest,Hungary,Kimi Räikkönen,RAI,3,15.0,Finished,2,38,21.829,,,,,,,,,,,,,,,
2018,Hungarian Grand Prix,2018-07-29,Hungaroring,Budapest,Hungary,Sebastian Vettel,VET,2,18.0,Finished,1,39,23.111,SOFT,38.0,1.0,28.21666666666667,34.71666666666667,55.0,8.033333333333333,1.0,23.111,0.002159133,0.1428571428571428,0.014285714,43.44481994581159,0.043478261,6.560289986399686
2018,Hungarian Grand Prix,2018-07-29,Hungaroring,Budapest,Hungary,Sebastian Vettel,VET,2,18.0,Finished,1,39,23.111,ULTRASOFT,31.0,2.0,28.21666666666667,34.71666666666667,55.0,8.033333333333333,1.0,23.111,0.002159133,0.1428571428571428,0.014285714,43.44481994581159,0.043478261,6.560289986399686
2018,Italian Grand Prix,2018-09-02,Autodromo Nazionale di Monza,Monza,Italy,Kimi Räikkönen,RAI,2,18.0,Finished,1,20,23.862,,,,,,,,,,,,,,,
2018,Italian Grand Prix,2018-09-02,Autodromo Nazionale di Monza,Monza,Italy,Sebastian Vettel,VET,4,12.0,Finished,1,1,32.219,SOFT,28.0,2.0,17.541666666666668,22.741666666666667,88.08333333333333,3.4541666666666657,2.0,28.26,0.003853338,0.2857142857142857,0.037735849,38.29581994581159,0.1304347826086956,5.837548212837367
2018,Italian Grand Prix,2018-09-02,Autodromo Nazionale di Monza,Monza,Italy,Sebastian Vettel,VET,4,12.0,Finished,1,1,32.219,SUPERSOFT,24.0,3.0,17.541666666666668,22.741666666666667,88.08333333333333,3.4541666666666657,2.0,28.26,0.003853338,0.2857142857142857,0.037735849,38.29581994581159,0.1304347826086956,5.837548212837367
2018,Italian Grand Prix,2018-09-02,Autodromo Nazionale di Monza,Monza,Italy,Sebastian Vettel,VET,4,12.0,Finished,2,29,24.301,SOFT,28.0,2.0,17.541666666666668,22.741666666666667,88.08333333333333,3.4541666666666657,2.0,28.26,0.003853338,0.2857142857142857,0.037735849,38.29581994581159,0.1304347826086956,5.837548212837367
2018,Italian Grand Prix,2018-09-02,Autodromo Nazionale di Monza,Monza,Italy,Sebastian Vettel,VET,4,12.0,Finished,2,29,24.301,SUPERSOFT,24.0,3.0,17.541666666666668,22.741666666666667,88.08333333333333,3.4541666666666657,2.0,28.26,0.003853338,0.2857142857142857,0.037735849,38.29581994581159,0.1304347826086956,5.837548212837367
2018,Japanese Grand Prix,2018-10-07,Suzuka Circuit,Suzuka,Japan,Kimi Räikkönen,RAI,5,10.0,Finished,1,17,22.781,,,,,,,,,,,,,,,
2018,Japanese Grand Prix,2018-10-07,Suzuka Circuit,Suzuka,Japan,Sebastian Vettel,VET,6,8.0,Finished,1,26,22.748,SUPERSOFT,25.0,1.0,22.054166666666674,27.554166666666674,75.375,9.408333333333331,1.0,22.748,0.002039693,0.1428571428571428,0.018867925,43.80781994581159,0.217391304,6.633011901
